ANT1,-20.40,9.70,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,-3.63,-7.92,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C10,-3.63,-6.99,180.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,-4.81,-7.32,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,-0.96,-9.16,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-0.18,-8.96,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,-2.27,-10.40,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,11.16,-10.59,270.00,1.0µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C16,12.51,-10.58,270.00,47nF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C17,5.74,-8.75,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,5.02,-6.47,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-7.39,3.77,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C1_EP_DR,-17.18,-11.36,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C2,-3.43,-9.04,270.00,N.C.,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-20.85,-9.80,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,5.82,-2.03,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,3.74,-0.25,90.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,-6.28,-2.79,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,-11.71,10.07,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-11.70,10.82,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-15.24,12.71,90.00,22nF,NORDIC_NRF_3_RESC0201_L
C27,-9.31,9.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,-12.58,-12.09,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
